scheme,tick,countdown,reverse,elapsed_ms,toggled
authentic,1,3,1,200,0
authentic,2,2,1,400,0
authentic,3,1,0,600,1
authentic,4,0,0,800,0
authentic,5,4,0,1000,0
authentic,6,3,1,1200,1
authentic,7,2,1,1400,0
authentic,8,1,0,1600,1
authentic,9,0,0,1800,0
authentic,10,4,0,2000,0
authentic,11,3,1,2200,1
authentic,12,2,1,2400,0
authentic,13,1,0,2600,1
authentic,14,0,0,2800,0
authentic,15,4,0,3000,0
authentic,16,3,1,3200,1
authentic,17,2,1,3400,0
authentic,18,1,0,3600,1
authentic,19,0,0,3800,0
authentic,20,4,0,4000,0
