scheme,tick,countdown,reverse,elapsed_ms,toggled
authentic,1,3,1,200,0
authentic,2,2,1,400,0
authentic,3,1,0,600,1
authentic,4,0,0,800,0
authentic,5,4,0,1000,0
authentic,6,3,1,1200,1
authentic,7,2,1,1400,0
authentic,8,1,0,1600,1
authentic,9,0,0,1800,0
authentic,10,4,0,2000,0
authentic,11,3,1,2200,1
authentic,12,2,1,2400,0
authentic,13,1,0,2600,1
authentic,14,0,0,2800,0
authentic,15,4,0,3000,0
authentic,16,3,1,3200,1
authentic,17,2,1,3400,0
authentic,18,1,0,3600,1
authentic,19,0,0,3800,0
authentic,20,4,0,4000,0
host_timer,1,1,0,250,0
host_timer,2,2,1,500,1
host_timer,3,1,1,750,0
host_timer,4,2,0,1000,1
host_timer,5,1,0,1250,0
host_timer,6,2,1,1500,1
host_timer,7,1,1,1750,0
host_timer,8,2,0,2000,1
host_timer,9,1,0,2250,0
host_timer,10,2,1,2500,1
host_timer,11,1,1,2750,0
host_timer,12,2,0,3000,1
host_timer,13,1,0,3250,0
host_timer,14,2,1,3500,1
host_timer,15,1,1,3750,0
host_timer,16,2,0,4000,1
host_timer,17,1,0,4250,0
host_timer,18,2,1,4500,1
host_timer,19,1,1,4750,0
host_timer,20,2,0,5000,1
