scheme,tick,countdown,reverse,elapsed_ms,toggled
host_timer,1,1,0,250,0
host_timer,2,2,1,500,1
host_timer,3,1,1,750,0
host_timer,4,2,0,1000,1
host_timer,5,1,0,1250,0
host_timer,6,2,1,1500,1
host_timer,7,1,1,1750,0
host_timer,8,2,0,2000,1
host_timer,9,1,0,2250,0
host_timer,10,2,1,2500,1
host_timer,11,1,1,2750,0
host_timer,12,2,0,3000,1
host_timer,13,1,0,3250,0
host_timer,14,2,1,3500,1
host_timer,15,1,1,3750,0
host_timer,16,2,0,4000,1
host_timer,17,1,0,4250,0
host_timer,18,2,1,4500,1
host_timer,19,1,1,4750,0
host_timer,20,2,0,5000,1
